Wavelength (m),To fit (1/0),Fit priority (1 is first),function to fit (0-Voigt; 1-Gaussian; 2-Lorentzian),Max position shift (m),Max line fwhm (m),Chemical element,Ionization number (1 is neutrals),Link parameters,E_k (eV),log(A_ki*g_k/?),line index
6.601256E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.602238E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.603463E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.604414E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.605119E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.606507E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.608249E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.609427E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.517299E-07,1,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.538340E-07,1,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.591736E-07,1,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.593118E-07,1,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
