33,11165,6488,6500,4659,3757,2958,2124,2476,2106,2730,
34,10295,6615,6138,4545,3531,3109,2255,2764,2046,2324,
35,9761,6200,5898,4471,3456,3124,2795,3183,2228,2477,
36,9378,6447,5569,4784,3227,3128,2644,3420,2715,2399,
37,9121,6849,5633,4992,2847,2874,2305,2903,2976,2764,
38,10034,7408,6189,4785,3449,3232,2350,2991,2840,2999,
39,10179,7230,6251,4652,3495,3353,2671,4082,3234,3123,
40,10238,7120,5964,5017,2933,3291,2803,4483,4019,3409,
41,10430,6862,6383,5194,3123,3444,2830,4064,4056,3638,
42,10369,6391,6317,5158,3179,3714,3230,3900,4097,3772,
43,10289,5900,6611,5153,3379,3938,3258,4189,4030,3643,
44,10404,6312,6537,5729,4056,4306,3498,4377,4625,3869,
45,9997,7261,6224,5718,4402,3827,3255,4247,4230,3659,
46,9367,7738,5388,4955,3729,3626,2789,3893,3780,3556,
47,9370,7338,6124,4905,3491,3444,2625,3466,3434,3209,
48,9394,6738,6504,4562,3469,3514,2625,3543,3354,3347,
49,9558,7737,7302,4472,3705,3339,2957,3490,3565,2912,
50,9276,8091,6560,4880,3469,2919,2768,3446,3240,2679,
51,9841,8496,5727,5481,3059,2794,3007,3494,2892,2789,
52,10526,8423,5887,5340,3278,3043,3235,2736,2989,2742,
53,10491,7752,5632,4896,3258,3079,3433,2698,2900,3105,
54,9809,8165,5933,4342,3772,3094,3275,2993,2616,3273,
55,9471,8760,6273,4590,3493,3080,3440,3271,2404,3067,
56,9465,7933,6457,5289,3255,3283,3105,3085,2983,2930,
57,9346,7028,6353,4989,3678,3140,3095,2968,3124,2969,
58,8352,7028,6746,4781,3324,3485,2699,2635,2932,3101,
59,9018,6761,6679,4920,3241,3329,2545,2803,3000,2565,
60,9309,7034,6864,4855,3734,3027,2835,2978,3014,2409,
61,9641,6620,7448,4487,3842,2832,2702,3266,3104,2241,
62,9707,6793,6835,4213,3504,3059,2904,2984,3130,2303,
63,9888,7557,6904,4586,3440,3133,2995,3039,2551,2271,
64,10069,7836,7157,5071,3918,3073,3399,3483,2439,2470,
65,10398,7832,7781,5290,3897,3581,3112,3100,2681,2589,
66,10739,6967,7951,5240,4150,3789,2768,2688,2836,2934,
67,11192,7021,7059,5536,4012,4032,2989,2959,3024,2666,
68,10354,6982,6331,5969,3240,4242,3663,2891,3630,3030,
69,9828,7598,6496,5810,3335,4583,4274,3369,4238,3203,
70,9532,7783,6480,5244,3258,4204,3724,3533,3699,3146,
71,10181,7099,6163,4535,3056,4168,3655,3840,3540,2845,
72,11433,7103,6273,4514,3416,4464,3601,3678,3967,2969,
73,10681,7195,5875,4674,3958,4363,3534,3687,3750,3414,
74,10969,6573,6140,4433,4176,4496,3617,3324,4023,4060,
75,10527,5953,5649,4498,4263,3881,3268,2771,4373,4074,
76,11386,6977,5290,4220,3825,3367,2705,2495,3869,3059,
77,11354,7373,5070,4450,4061,3329,2359,2422,3217,3024,
78,11223,6862,5375,4585,3686,3297,2185,2257,3059,2809,
79,11042,7040,5842,4123,3583,3774,2532,2245,2927,2913,
80,9942,6871,6452,3943,3752,3678,2325,2105,2791,2782,
81,9919,6050,6530,4540,3823,3657,2471,1897,2428,3084,
82,10489,6887,6962,5145,3323,3272,2849,2008,1976,2637,
83,10355,7081,6467,5341,3359,2753,2880,1912,2213,2514,
84,9603,6993,6812,4513,3887,2712,2626,2149,2439,2617,
85,9535,7501,6063,4188,3858,2646,2783,2350,2475,2753,
86,9795,7102,6090,4292,3803,2933,2546,2069,2883,2829,
87,9584,6780,6627,3995,3805,2968,2462,2054,2752,2500,
88,9708,7046,6274,4415,3886,2942,2430,2365,2441,2501,
89,9310,6967,5975,4949,3908,2982,2465,2365,2378,2425,
90,10181,7078,5821,4783,4083,3037,2280,2889,2747,2328,
91,10272,6931,6010,5231,4703,3324,2375,2967,2656,2547,
92,10340,6624,6322,5284,4480,3276,2453,2753,2512,3232,
93,10686,7615,6650,5085,3932,3432,3197,2865,2384,2662,
94,10973,7647,6875,5162,3507,3316,3310,2897,2032,2345,
95,11283,7526,6433,4903,3643,2958,3216,2879,2243,2462,
96,10319,7478,6110,5658,3553,3652,3021,2741,2030,2447,
97,10110,7691,6439,5657,3138,3572,2192,2594,2142,2129,
98,10676,7710,6413,4942,3299,2998,2151,2619,2192,2247,
99,10218,7889,6655,4717,3614,3053,2329,2558,2228,2602,
100,10929,7761,6570,4676,3492,2875,2118,2583,2327,2251,
101,11168,7190,6480,5041,3571,2833,2054,2508,2527,1759,
102,11104,7120,6716,4999,3680,2882,2315,2616,2496,1734,
103,10968,6727,6169,5107,3896,3225,2463,2521,2504,1870,
104,11305,7174,6154,5322,3765,3730,2686,2167,2349,2046,
105,11116,7936,6300,5111,3919,3551,2609,2230,1963,1886,
106,10182,7675,6622,4816,4161,3734,2460,2472,2069,2243,
107,9584,7793,6844,4917,4502,3510,2497,2428,2375,2619,
