Measured unit,Wavelength (m)
200.5603274,200.5603274e-9
200.5672397,200.5672397e-9
200.5741517,200.5741517e-9
200.5810634,200.5810634e-9
200.5879746,200.5879746e-9
200.5948855,200.5948855e-9
200.6017961,200.6017961e-9
200.6087062,200.6087062e-9
200.615616,200.615616e-9
200.6225254,200.6225254e-9
200.6294344,200.6294344e-9
200.6363431,200.6363431e-9
200.6432514,200.6432514e-9
200.6501593,200.6501593e-9
200.6570668,200.6570668e-9
200.663974,200.663974e-9
200.6708808,200.6708808e-9
200.6777872,200.6777872e-9
200.6846933,200.6846933e-9
200.691599,200.691599e-9
200.6985043,200.6985043e-9
200.7054093,200.7054093e-9
200.7123138,200.7123138e-9
200.719218,200.719218e-9
200.7261219,200.7261219e-9
200.7330253,200.7330253e-9
200.7399284,200.7399284e-9
200.7468311,200.7468311e-9
200.7537334,200.7537334e-9
200.7606354,200.7606354e-9
200.767537,200.767537e-9
200.7744382,200.7744382e-9
200.7813391,200.7813391e-9
200.7882396,200.7882396e-9
200.7951397,200.7951397e-9
200.8020394,200.8020394e-9
200.8089388,200.8089388e-9
200.8158378,200.8158378e-9
200.8227364,200.8227364e-9
200.8296347,200.8296347e-9
200.8365325,200.8365325e-9
200.84343,200.84343e-9
200.8503272,200.8503272e-9
200.8572239,200.8572239e-9
200.8641203,200.8641203e-9
200.8710164,200.8710164e-9
200.877912,200.877912e-9
200.8848073,200.8848073e-9
200.8917022,200.8917022e-9
200.8985967,200.8985967e-9
200.9054909,200.9054909e-9
200.9123847,200.9123847e-9
200.9192781,200.9192781e-9
200.9261711,200.9261711e-9
200.9330638,200.9330638e-9
200.9399561,200.9399561e-9
200.946848,200.946848e-9
200.9537396,200.9537396e-9
200.9606308,200.9606308e-9
200.9675216,200.9675216e-9
200.974412,200.974412e-9
200.9813021,200.9813021e-9
200.9881918,200.9881918e-9
200.9950811,200.9950811e-9
201.0019701,201.0019701e-9
201.0088587,201.0088587e-9
201.0157469,201.0157469e-9
201.0226347,201.0226347e-9
201.0295222,201.0295222e-9
201.0364093,201.0364093e-9
201.043296,201.043296e-9
201.0501824,201.0501824e-9
201.0570684,201.0570684e-9
201.063954,201.063954e-9
201.0708392,201.0708392e-9
201.0777241,201.0777241e-9
201.0846086,201.0846086e-9
201.0914927,201.0914927e-9
201.0983764,201.0983764e-9
201.1052598,201.1052598e-9
201.1121428,201.1121428e-9
201.1190255,201.1190255e-9
201.1259077,201.1259077e-9
201.1327896,201.1327896e-9
201.1396711,201.1396711e-9
201.1465523,201.1465523e-9
201.1534331,201.1534331e-9
201.1603135,201.1603135e-9
201.1671935,201.1671935e-9
201.1740732,201.1740732e-9
201.1809524,201.1809524e-9
201.1878314,201.1878314e-9
201.1947099,201.1947099e-9
201.2015881,201.2015881e-9
201.2084659,201.2084659e-9
201.2153433,201.2153433e-9
201.2222204,201.2222204e-9
201.2290971,201.2290971e-9
201.2359734,201.2359734e-9
201.2428493,201.2428493e-9
201.2497249,201.2497249e-9
201.2566001,201.2566001e-9
201.2634749,201.2634749e-9
201.2703494,201.2703494e-9
201.2772234,201.2772234e-9
201.2840972,201.2840972e-9
201.2909705,201.2909705e-9
201.2978435,201.2978435e-9
201.3047161,201.3047161e-9
201.3115883,201.3115883e-9
201.3184601,201.3184601e-9
201.3253316,201.3253316e-9
201.3322027,201.3322027e-9
201.3390735,201.3390735e-9
201.3459438,201.3459438e-9
201.3528138,201.3528138e-9
201.3596834,201.3596834e-9
201.3665527,201.3665527e-9
201.3734216,201.3734216e-9
201.3802901,201.3802901e-9
201.3871582,201.3871582e-9
201.394026,201.394026e-9
201.4008934,201.4008934e-9
201.4077604,201.4077604e-9
201.414627,201.414627e-9
201.4214933,201.4214933e-9
201.4283592,201.4283592e-9
201.4352247,201.4352247e-9
201.4420899,201.4420899e-9
201.4489547,201.4489547e-9
201.4558191,201.4558191e-9
201.4626831,201.4626831e-9
201.4695468,201.4695468e-9
201.4764101,201.4764101e-9
201.4832731,201.4832731e-9
201.4901356,201.4901356e-9
201.4969978,201.4969978e-9
201.5038596,201.5038596e-9
201.510721,201.510721e-9
201.5175821,201.5175821e-9
201.5244428,201.5244428e-9
201.5313031,201.5313031e-9
201.5381631,201.5381631e-9
201.5450227,201.5450227e-9
201.5518819,201.5518819e-9
201.5587407,201.5587407e-9
201.5655992,201.5655992e-9
201.5724573,201.5724573e-9
201.579315,201.579315e-9
201.5861724,201.5861724e-9
201.5930293,201.5930293e-9
201.599886,201.599886e-9
201.6067422,201.6067422e-9
201.6135981,201.6135981e-9
201.6204536,201.6204536e-9
201.6273087,201.6273087e-9
201.6341634,201.6341634e-9
201.6410178,201.6410178e-9
201.6478718,201.6478718e-9
201.6547254,201.6547254e-9
201.6615787,201.6615787e-9
201.6684316,201.6684316e-9
201.6752841,201.6752841e-9
201.6821363,201.6821363e-9
201.688988,201.688988e-9
