Measured unit,Wavelength (m),Sensitivity,Additional multiplier,Additional additive
200.314583,2.00315E-07,0,1,0
200.321508,2.00322E-07,0,1,0
200.328434,2.00328E-07,0,1,0
200.335359,2.00335E-07,0,1,0
200.342283,2.00342E-07,0,1,0
200.349208,2.00349E-07,0,1,0
200.356131,2.00356E-07,0,1,0
200.363055,2.00363E-07,0,1,0
200.369978,2.0037E-07,0,1,0
200.376901,2.00377E-07,0,1,0
200.383823,2.00384E-07,0,1,0
200.390745,2.00391E-07,0,1,0
200.397667,2.00398E-07,0,1,0
200.404588,2.00405E-07,0,1,0
200.411509,2.00412E-07,0,1,0
200.41843,2.00418E-07,0,1,0
200.42535,2.00425E-07,0,1,0
200.43227,2.00432E-07,0,1,0
200.43919,2.00439E-07,0,1,0
200.446109,2.00446E-07,0,1,0
200.453028,2.00453E-07,0,1,0
200.459946,2.0046E-07,0,1,0
200.466864,2.00467E-07,0,1,0
200.473782,2.00474E-07,0,1,0
200.480699,2.00481E-07,0,1,0
200.487616,2.00488E-07,0,1,0
200.494532,2.00495E-07,0,1,0
200.501449,2.00501E-07,0,1,0
200.508364,2.00508E-07,0,1,0
200.51528,2.00515E-07,0,1,0
200.522195,2.00522E-07,0,1,0
200.52911,2.00529E-07,0,1,0
200.536024,2.00536E-07,0,1,0
200.542938,2.00543E-07,0,1,0
200.549852,2.0055E-07,0,1,0
200.556765,2.00557E-07,0,1,0
200.563678,2.00564E-07,0,1,0
200.57059,2.00571E-07,0,1,0
200.577502,2.00578E-07,0,1,0
200.584414,2.00584E-07,0,1,0
200.591326,2.00591E-07,0,1,0
200.598237,2.00598E-07,0,1,0
200.605147,2.00605E-07,0,1,0
200.612058,2.00612E-07,0,1,0
200.618968,2.00619E-07,0,1,0
200.625877,2.00626E-07,0,1,0
200.632786,2.00633E-07,0,1,0
200.639695,2.0064E-07,0,1,0
200.646604,2.00647E-07,0,1,0
200.653512,2.00654E-07,0,1,0
200.66042,2.0066E-07,0,1,0
200.667327,2.00667E-07,0,1,0
200.674234,2.00674E-07,0,1,0
200.68114,2.00681E-07,0,1,0
200.688047,2.00688E-07,0,1,0
200.694953,2.00695E-07,0,1,0
200.701858,2.00702E-07,0,1,0
200.708763,2.00709E-07,0,1,0
200.715668,2.00716E-07,0,1,0
200.722573,2.00723E-07,0,1,0
200.729477,2.00729E-07,0,1,0
200.73638,2.00736E-07,0,1,0
200.743284,2.00743E-07,0,1,0
200.750187,2.0075E-07,0,1,0
200.757089,2.00757E-07,0,1,0
200.763991,2.00764E-07,0,1,0
200.770893,2.00771E-07,0,1,0
200.777795,2.00778E-07,0,1,0
200.784696,2.00785E-07,0,1,0
200.791596,2.00792E-07,0,1,0
200.798497,2.00798E-07,0,1,0
200.805397,2.00805E-07,0,1,0
200.812296,2.00812E-07,0,1,0
200.819196,2.00819E-07,0,1,0
200.826095,2.00826E-07,0,1,0
200.832993,2.00833E-07,0,1,0
200.839891,2.0084E-07,0,1,0
200.846789,2.00847E-07,0,1,0
200.853686,2.00854E-07,0,1,0
200.860583,2.00861E-07,0,1,0
200.86748,2.00867E-07,0,1,0
200.874376,2.00874E-07,0,1,0
200.881272,2.00881E-07,0,1,0
200.888168,2.00888E-07,0,1,0
200.895063,2.00895E-07,0,1,0
200.901958,2.00902E-07,0,1,0
200.908852,2.00909E-07,0,1,0
200.915747,2.00916E-07,0,1,0
200.92264,2.00923E-07,0,1,0
200.929534,2.0093E-07,0,1,0
200.936427,2.00936E-07,0,1,0
200.943319,2.00943E-07,0,1,0
200.950211,2.0095E-07,0,1,0
200.957103,2.00957E-07,0,1,0
200.963995,2.00964E-07,0,1,0
200.970886,2.00971E-07,0,1,0
200.977777,2.00978E-07,0,1,0
200.984667,2.00985E-07,0,1,0
200.991557,2.00992E-07,0,1,0
200.998447,2.00998E-07,0,1,0
201.005336,2.01005E-07,0,1,0
201.012225,2.01012E-07,0,1,0
201.019114,2.01019E-07,0,1,0
201.026002,2.01026E-07,0,1,0
201.03289,2.01033E-07,0,1,0
201.039777,2.0104E-07,0,1,0
201.046664,2.01047E-07,0,1,0
201.053551,2.01054E-07,0,1,0
201.060437,2.0106E-07,0,1,0
201.067323,2.01067E-07,0,1,0
201.074209,2.01074E-07,0,1,0
201.081094,2.01081E-07,0,1,0
201.087979,2.01088E-07,0,1,0
201.094863,2.01095E-07,0,1,0
201.101747,2.01102E-07,0,1,0
201.108631,2.01109E-07,0,1,0
201.115515,2.01116E-07,0,1,0
201.122398,2.01122E-07,0,1,0
201.12928,2.01129E-07,0,1,0
201.136162,2.01136E-07,0,1,0
201.143044,2.01143E-07,0,1,0
201.149926,2.0115E-07,0,1,0
201.156807,2.01157E-07,0,1,0
