Wavelength (m),Identificator,Function to fit,To fit (1/0),Fit priority (1 is first),Max position shift (m),Max line fwhm (m),Max influence radius (m),Linked variables
4.764865E-07,Ar2,VoigtFWHM,,,3.00E-11,3.00E-10,2.00E-09,
4.806020E-07,Ar2,VoigtFWHM,,,3.00E-11,3.00E-10,2.00E-09,
4.879864E-07,Ar2,VoigtFWHM,,,3.00E-11,3.00E-10,2.00E-09,
5.204505E-07,Cr1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
5.206021E-07,Cr1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
5.208415E-07,Cr1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
5.270811E-07,Be2,VoigtFWHM,,,4.00E-11,5.00E-10,2.00E-09,
5.506494E-07,Mo1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
5.533031E-07,Mo1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
5.570444E-07,Mo1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
5.889950E-07,Na1,Voigt,,,3.00E-11,2.00E-10,1.00E-09,
5.895924E-07,Na1,Voigt,,,3.00E-11,2.00E-10,1.00E-09,
6.439073E-07,Ca1,Voigt,,,3.00E-11,2.00E-10,4.00E-10,
6.462566E-07,Ca1,Voigt,,,3.00E-11,2.00E-10,4.00E-10,
6.561000E-07,D,VoigtFWHM,,,2.00E-10,2.50E-09,1.00E-08,
6.562790E-07,H,VoigtFWHM,,,1.90E-10,2.50E-09,1.00E-08,center = %D_656100.center + 0.179e-9; fwhm = %D_656100.fwhm; shape = %D_656100.shape
6.965431E-07,Ar1,VoigtFWHM,,,3.00E-11,3.00E-10,2.00E-09,
7.067218E-07,Ar1,VoigtFWHM,,,3.00E-11,3.00E-10,2.00E-09,
7.384410E-07,Ar1,VoigtFWHM,,,3.00E-11,3.00E-10,2.00E-09,
7.503869E-07,Ar1,VoigtFWHM,,,3.00E-11,3.00E-10,2.00E-09,
7.513864E-07,_,VoigtFWHM,,,3.00E-11,3.00E-10,4.00E-10,
7.515305E-07,Ar1,VoigtFWHM,,,3.00E-11,3.00E-10,2.00E-09,
7.594930E-07,_,VoigtFWHM,,,3.00E-11,3.00E-10,4.00E-10,
3.130422E-07,Be2_self_absorption,VoigtFWHM,,2,5.00E-12,5.00E-10,2.00E-09,$absorb_var1 = ~{y[index(313.04219e-9)] / 4} ; center = %Be2_313042.center; height = -abs($absorb_var1); fwhm = ~{%Be2_313042.fwhm / 2}; shape = %Be2_313042.shape
3.131067E-07,Be2_self_absorption,VoigtFWHM,,2,5.00E-12,5.00E-10,2.00E-09,$absorb_var2 = ~{y[index(313.10667e-9)] / 4} ; center = %Be2_313107.center; height = -abs($absorb_var2); fwhm = %Be2_self_absorption_313042.fwhm; shape = %Be2_self_absorption_313042.shape
