Measured unit,Wavelength (m),Sensitivity,Additional multiplier,Additional additive
287,6.5401E-07,0.000429948,,
288,6.5402E-07,0.000430393,,
289,6.54029E-07,0.000430462,,
290,6.54039E-07,0.000430775,,
291,6.54048E-07,0.000431834,,
292,6.54058E-07,0.00043298,,
293,6.54067E-07,0.00043363,,
294,6.54077E-07,0.000434343,,
295,6.54086E-07,0.000434966,,
296,6.54095E-07,0.000434823,,
297,6.54105E-07,0.000434626,,
298,6.54114E-07,0.000434608,,
299,6.54124E-07,0.000434692,,
300,6.54133E-07,0.000434037,,
301,6.54143E-07,0.000433151,,
302,6.54152E-07,0.000432801,,
303,6.54161E-07,0.000432412,,
304,6.54171E-07,0.000431837,,
305,6.5418E-07,0.000431353,,
306,6.5419E-07,0.000431027,,
307,6.54199E-07,0.00043077,,
308,6.54209E-07,0.000430354,,
309,6.54218E-07,0.000430723,,
310,6.54227E-07,0.000431101,,
311,6.54237E-07,0.000431351,,
312,6.54246E-07,0.000431627,,
313,6.54256E-07,0.000431963,,
314,6.54265E-07,0.000432474,,
315,6.54275E-07,0.000432593,,
316,6.54284E-07,0.000432945,,
317,6.54294E-07,0.000433163,,
318,6.54303E-07,0.000433168,,
319,6.54312E-07,0.000433235,,
320,6.54322E-07,0.00043319,,
321,6.54331E-07,0.000433221,,
322,6.54341E-07,0.000433557,,
323,6.5435E-07,0.000433807,,
324,6.5436E-07,0.000434359,,
325,6.54369E-07,0.000434597,,
326,6.54378E-07,0.000434968,,
327,6.54388E-07,0.000435029,,
328,6.54397E-07,0.000435304,,
329,6.54407E-07,0.000436272,,
330,6.54416E-07,0.000436466,,
331,6.54426E-07,0.000436557,,
332,6.54435E-07,0.000436638,,
333,6.54444E-07,0.000436286,,
334,6.54454E-07,0.000436211,,
335,6.54463E-07,0.000435834,,
336,6.54473E-07,0.000436045,,
337,6.54482E-07,0.000435816,,
338,6.54492E-07,0.000435315,,
339,6.54501E-07,0.000435222,,
340,6.54511E-07,0.000435493,,
341,6.5452E-07,0.000435559,,
342,6.54529E-07,0.000436071,,
343,6.54539E-07,0.000436297,,
344,6.54548E-07,0.000436697,,
345,6.54558E-07,0.000436435,,
346,6.54567E-07,0.000436984,,
347,6.54577E-07,0.000437163,,
348,6.54586E-07,0.000437586,,
349,6.54595E-07,0.000437316,,
350,6.54605E-07,0.000437496,,
351,6.54614E-07,0.000437289,,
352,6.54624E-07,0.000436905,,
353,6.54633E-07,0.000436549,,
354,6.54643E-07,0.000436938,,
355,6.54652E-07,0.000437005,,
356,6.54661E-07,0.000437393,,
357,6.54671E-07,0.000437196,,
358,6.5468E-07,0.000437369,,
359,6.5469E-07,0.000437406,,
360,6.54699E-07,0.000437564,,
361,6.54709E-07,0.000437576,,
362,6.54718E-07,0.000437516,,
363,6.54728E-07,0.00043689,,
364,6.54737E-07,0.000436515,,
365,6.54746E-07,0.000435687,,
366,6.54756E-07,0.000435295,,
367,6.54765E-07,0.000434762,,
368,6.54775E-07,0.00043371,,
369,6.54784E-07,0.00043332,,
370,6.54794E-07,0.000433263,,
371,6.54803E-07,0.000433166,,
372,6.54812E-07,0.000433796,,
373,6.54822E-07,0.000434125,,
374,6.54831E-07,0.000434591,,
375,6.54841E-07,0.000434793,,
376,6.5485E-07,0.00043508,,
377,6.5486E-07,0.00043575,,
378,6.54869E-07,0.000435765,,
379,6.54878E-07,0.000435889,,
380,6.54888E-07,0.000436224,,
381,6.54897E-07,0.000436047,,
382,6.54907E-07,0.00043584,,
383,6.54916E-07,0.00043555,,
384,6.54926E-07,0.0004356,,
385,6.54935E-07,0.000436258,,
386,6.54945E-07,0.000436205,,
387,6.54954E-07,0.000436357,,
388,6.54963E-07,0.000436687,,
389,6.54973E-07,0.000436609,,
390,6.54982E-07,0.000436755,,
391,6.54992E-07,0.000436888,,
392,6.55001E-07,0.000437328,,
393,6.55011E-07,0.000437681,,
394,6.5502E-07,0.00043741,,
395,6.55029E-07,0.000437621,,
396,6.55039E-07,0.000438248,,
397,6.55048E-07,0.000438022,,
398,6.55058E-07,0.000438246,,
399,6.55067E-07,0.000438463,,
400,6.55077E-07,0.000438606,,
401,6.55086E-07,0.00043868,,
402,6.55095E-07,0.000438194,,
403,6.55105E-07,0.000437977,,
404,6.55114E-07,0.000437903,,
405,6.55124E-07,0.000437263,,
406,6.55133E-07,0.000437332,,
407,6.55143E-07,0.000437392,,
408,6.55152E-07,0.000436994,,
409,6.55162E-07,0.000436654,,
410,6.55171E-07,0.000436537,,
411,6.5518E-07,0.000436912,,
412,6.5519E-07,0.000436978,,
413,6.55199E-07,0.000437035,,
414,6.55209E-07,0.000437006,,
415,6.55218E-07,0.000436965,,
416,6.55228E-07,0.000436592,,
417,6.55237E-07,0.000436705,,
418,6.55246E-07,0.000437119,,
419,6.55256E-07,0.000437718,,
420,6.55265E-07,0.000437891,,
421,6.55275E-07,0.000437983,,
422,6.55284E-07,0.000438114,,
423,6.55294E-07,0.000438429,,
424,6.55303E-07,0.000438421,,
425,6.55312E-07,0.000438256,,
426,6.55322E-07,0.000437855,,
427,6.55331E-07,0.000437441,,
428,6.55341E-07,0.000436753,,
429,6.5535E-07,0.000436269,,
430,6.5536E-07,0.000436408,,
431,6.55369E-07,0.000436429,,
432,6.55378E-07,0.000436496,,
433,6.55388E-07,0.000437023,,
434,6.55397E-07,0.000437883,,
435,6.55407E-07,0.000438389,,
436,6.55416E-07,0.000438651,,
437,6.55426E-07,0.000438875,,
438,6.55435E-07,0.000439164,,
439,6.55445E-07,0.000439296,,
440,6.55454E-07,0.000439467,,
441,6.55463E-07,0.000439853,,
442,6.55473E-07,0.000440179,,
443,6.55482E-07,0.000440071,,
444,6.55492E-07,0.000440328,,
445,6.55501E-07,0.000440319,,
446,6.55511E-07,0.000440228,,
447,6.5552E-07,0.000440585,,
448,6.55529E-07,0.000439913,,
449,6.55539E-07,0.000439573,,
450,6.55548E-07,0.000439231,,
451,6.55558E-07,0.000438618,,
452,6.55567E-07,0.000438607,,
453,6.55577E-07,0.000438726,,
454,6.55586E-07,0.000438913,,
455,6.55595E-07,0.000439023,,
456,6.55605E-07,0.000439151,,
457,6.55614E-07,0.000439682,,
458,6.55624E-07,0.000439822,,
459,6.55633E-07,0.000439572,,
460,6.55643E-07,0.000439286,,
461,6.55652E-07,0.000439144,,
