Wavelength (m),Identificator,Function to fit,To fit (1/0),Fit priority (1 is first),Max position shift (m),Max line fwhm (m),Max influence radius (m),Linked variables
6.603463E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.604414E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.605119E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.606507E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.607171E-07,,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,
6.608249E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.608489E-07,,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,
6.609030E-07,W1,VoigtApparatus,1,,9.00E-12,1.25E-10,3.00E-10,shape = $W1_width_var
6.609427E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
,,,,,,,,
